ticker,created_time,price,count,taker_side,trade_id,event_ticker,category,event_time,created_time_dt,event_time_dt,seconds_before_event,minutes_before_event
KXXRP-25NOV0909-B2.2899500,2025-11-09T13:48:03.927271Z,0.58,300,no,d8550e34-66ac-4841-ad07-6d6d5e190c50,KXXRP-25NOV0909,Crypto,2025-11-09T14:00:00Z,2025-11-09 13:48:03.927271+00:00,2025-11-09 14:00:00+00:00,716.072729,11.934545483333332
KXXRP-25NOV0909-B2.2899500,2025-11-09T13:38:50.727994Z,0.69,212,yes,4a69ee7e-57ba-4ee2-7f8f-610c5918d159,KXXRP-25NOV0909,Crypto,2025-11-09T14:00:00Z,2025-11-09 13:38:50.727994+00:00,2025-11-09 14:00:00+00:00,1269.272006,21.15453343333333
KXXRP-25NOV0909-B2.2899500,2025-11-09T13:37:47.19326Z,0.66,22,yes,a0ed4e32-ecab-6ce2-1269-28f41909b178,KXXRP-25NOV0909,Crypto,2025-11-09T14:00:00Z,2025-11-09 13:37:47.193260+00:00,2025-11-09 14:00:00+00:00,1332.80674,22.213445666666665
