ticker,created_time,price,count,taker_side,trade_id,event_ticker,category,event_time,created_time_dt,event_time_dt,seconds_before_event,minutes_before_event
KXKLEAGUEGAME-25NOV08GISGAW-GAW,2025-11-08T09:29:32.814415Z,0.98,2,yes,387e0a03-ce2a-5bba-d5e8-2a3b7af2c6ed,KXKLEAGUEGAME-25NOV08GISGAW,Sports,2025-11-08T09:30:03.420985Z,2025-11-08 09:29:32.814415+00:00,2025-11-08 09:30:03.420985+00:00,30.60657,0.5101095
KXKLEAGUEGAME-25NOV08GISGAW-GAW,2025-11-08T09:29:32.814415Z,0.97,12,yes,1cfd5fee-32e3-5a19-f691-3db20ee5e5ec,KXKLEAGUEGAME-25NOV08GISGAW,Sports,2025-11-08T09:30:03.420985Z,2025-11-08 09:29:32.814415+00:00,2025-11-08 09:30:03.420985+00:00,30.60657,0.5101095
KXKLEAGUEGAME-25NOV08GISGAW-GAW,2025-11-08T09:29:32.814415Z,0.97,100,yes,12a1a2bc-401e-5474-f946-eeb1e4826f68,KXKLEAGUEGAME-25NOV08GISGAW,Sports,2025-11-08T09:30:03.420985Z,2025-11-08 09:29:32.814415+00:00,2025-11-08 09:30:03.420985+00:00,30.60657,0.5101095
KXKLEAGUEGAME-25NOV08GISGAW-GAW,2025-11-08T09:28:32.428892Z,0.97,73,yes,6c34d9fa-867f-41be-8e49-c7665de81c1e,KXKLEAGUEGAME-25NOV08GISGAW,Sports,2025-11-08T09:30:03.420985Z,2025-11-08 09:28:32.428892+00:00,2025-11-08 09:30:03.420985+00:00,90.992093,1.5165348833333332
KXKLEAGUEGAME-25NOV08GISGAW-GAW,2025-11-08T09:27:44.971989Z,0.97,75,yes,64d76d0c-066f-468e-98eb-2d7ffdd2b046,KXKLEAGUEGAME-25NOV08GISGAW,Sports,2025-11-08T09:30:03.420985Z,2025-11-08 09:27:44.971989+00:00,2025-11-08 09:30:03.420985+00:00,138.448996,2.3074832666666665
KXKLEAGUEGAME-25NOV08GISGAW-GAW,2025-11-08T09:27:11.739171Z,0.97,100,yes,7996ac49-5f53-697e-2060-8f5b9b40f452,KXKLEAGUEGAME-25NOV08GISGAW,Sports,2025-11-08T09:30:03.420985Z,2025-11-08 09:27:11.739171+00:00,2025-11-08 09:30:03.420985+00:00,171.681814,2.861363566666667
KXKLEAGUEGAME-25NOV08GISGAW-GAW,2025-11-08T09:27:11.017422Z,0.97,102,yes,789169be-9d4f-76fe-8960-fe478b4f1702,KXKLEAGUEGAME-25NOV08GISGAW,Sports,2025-11-08T09:30:03.420985Z,2025-11-08 09:27:11.017422+00:00,2025-11-08 09:30:03.420985+00:00,172.403563,2.8733927166666664
KXKLEAGUEGAME-25NOV08GISGAW-GAW,2025-11-08T09:26:59.60768Z,0.96,63,yes,04d394fa-5d5d-4ac4-a7dc-ea97fbd2dadd,KXKLEAGUEGAME-25NOV08GISGAW,Sports,2025-11-08T09:30:03.420985Z,2025-11-08 09:26:59.607680+00:00,2025-11-08 09:30:03.420985+00:00,183.813305,3.0635550833333336
KXKLEAGUEGAME-25NOV08GISGAW-GAW,2025-11-08T09:26:46.72576Z,0.97,51,yes,363b3163-b92f-521a-0bc7-e139f1dcec06,KXKLEAGUEGAME-25NOV08GISGAW,Sports,2025-11-08T09:30:03.420985Z,2025-11-08 09:26:46.725760+00:00,2025-11-08 09:30:03.420985+00:00,196.695225,3.2782537499999997
KXKLEAGUEGAME-25NOV08GISGAW-GAW,2025-11-08T09:26:37.930786Z,0.97,99,yes,693c5dd7-4643-57e2-a93b-fc7d0f70af82,KXKLEAGUEGAME-25NOV08GISGAW,Sports,2025-11-08T09:30:03.420985Z,2025-11-08 09:26:37.930786+00:00,2025-11-08 09:30:03.420985+00:00,205.490199,3.42483665
