ticker,created_time,price,count,taker_side,trade_id,event_ticker,category,event_time,created_time_dt,event_time_dt,seconds_before_event,minutes_before_event
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:37:41.495444Z,0.99,193,no,91fa2eb4-5797-4e18-4c83-2d329d709be2,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:37:41.495444+00:00,2025-11-08 10:40:31.145270+00:00,169.649826,2.8274971
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:37:03.842551Z,0.99,147,no,d64559ae-bed3-4e68-d932-067f730208f2,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:37:03.842551+00:00,2025-11-08 10:40:31.145270+00:00,207.302719,3.455045316666667
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:34:20.706095Z,0.99,3,no,64c829e2-b113-4bbc-ea32-6f08f2ff77b2,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:34:20.706095+00:00,2025-11-08 10:40:31.145270+00:00,370.439175,6.17398625
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:32:33.451471Z,0.98,11,no,a46c55d6-4329-7f49-9170-391a8bcf8c5e,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:32:33.451471+00:00,2025-11-08 10:40:31.145270+00:00,477.693799,7.961563316666667
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:31:19.402737Z,0.99,26,yes,7087fd6c-aab1-6c4c-0ddb-0ea600ed879f,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:31:19.402737+00:00,2025-11-08 10:40:31.145270+00:00,551.742533,9.195708883333333
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:31:19.402737Z,0.99,107,yes,31752082-fe1b-65fa-0d5c-f1768f7765d9,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:31:19.402737+00:00,2025-11-08 10:40:31.145270+00:00,551.742533,9.195708883333333
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:30:41.02062Z,0.99,414,yes,c7863749-c23d-48c2-a887-3043ea296b56,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:30:41.020620+00:00,2025-11-08 10:40:31.145270+00:00,590.12465,9.835410833333333
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:30:41.02062Z,0.99,82,yes,08b0679e-db23-4474-a58b-883e4515390c,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:30:41.020620+00:00,2025-11-08 10:40:31.145270+00:00,590.12465,9.835410833333333
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:30:37.413691Z,0.99,100,yes,34de3ab6-28fd-4f22-eb16-bc83ebe0a90e,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:30:37.413691+00:00,2025-11-08 10:40:31.145270+00:00,593.731579,9.895526316666666
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:30:29.273519Z,0.99,1,yes,83642ec8-700d-721e-8c95-4c39f6f02972,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:30:29.273519+00:00,2025-11-08 10:40:31.145270+00:00,601.871751,10.03119585
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:30:13.472504Z,0.99,841,yes,2e49e85a-f94d-4d8a-c722-f48f236b2c36,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:30:13.472504+00:00,2025-11-08 10:40:31.145270+00:00,617.672766,10.2945461
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:27:54.948561Z,0.94,107,no,71835e57-dd9a-766b-d077-e69dd2573b2b,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:27:54.948561+00:00,2025-11-08 10:40:31.145270+00:00,756.196709,12.603278483333334
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:27:49.068733Z,0.95,52,no,c5c4a65c-0847-4011-1109-2c8a88c98386,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:27:49.068733+00:00,2025-11-08 10:40:31.145270+00:00,762.076537,12.701275616666667
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:27:46.493953Z,0.99,61,yes,e38383ec-039d-7183-f062-021d249b8d04,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:27:46.493953+00:00,2025-11-08 10:40:31.145270+00:00,764.651317,12.744188616666666
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:27:46.493953Z,0.99,39,yes,3b69eadd-4d21-7b1a-e45a-ddaf806fbe42,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:27:46.493953+00:00,2025-11-08 10:40:31.145270+00:00,764.651317,12.744188616666666
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:27:42.831337Z,0.99,3,yes,e26c73e7-9659-65eb-1993-ed22872938cc,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:27:42.831337+00:00,2025-11-08 10:40:31.145270+00:00,768.313933,12.805232216666667
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:27:14.780117Z,0.99,500,yes,b374b6c2-ab0c-7925-878b-0570f8078dd9,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:27:14.780117+00:00,2025-11-08 10:40:31.145270+00:00,796.365153,13.27275255
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:27:14.780117Z,0.99,636,yes,8208a29f-5b95-78ab-b5d9-ce46e3c9d98c,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:27:14.780117+00:00,2025-11-08 10:40:31.145270+00:00,796.365153,13.27275255
KXALEAGUEGAME-25NOV08VICMEL-MEL,2025-11-08T10:27:14.780117Z,0.99,650,yes,54a70936-a490-7392-a9f2-a54123d53240,KXALEAGUEGAME-25NOV08VICMEL,Sports,2025-11-08T10:40:31.14527Z,2025-11-08 10:27:14.780117+00:00,2025-11-08 10:40:31.145270+00:00,796.365153,13.27275255
