ticker,created_time,price,count,taker_side,trade_id,event_ticker,category,event_time,created_time_dt,event_time_dt,seconds_before_event,minutes_before_event
KXJLEAGUEGAME-25NOV09KYOMAR-MAR,2025-11-09T07:03:19.301382Z,0.99,1,no,26ae7f41-3904-4e11-4155-e22b1cfc2a33,KXJLEAGUEGAME-25NOV09KYOMAR,Sports,2025-11-09T07:04:52.572499Z,2025-11-09 07:03:19.301382+00:00,2025-11-09 07:04:52.572499+00:00,93.271117,1.5545186166666667
KXJLEAGUEGAME-25NOV09KYOMAR-MAR,2025-11-09T07:00:22.216063Z,0.99,767,no,68c4fa90-5078-7fd1-0497-b10683ffdad3,KXJLEAGUEGAME-25NOV09KYOMAR,Sports,2025-11-09T07:04:52.572499Z,2025-11-09 07:00:22.216063+00:00,2025-11-09 07:04:52.572499+00:00,270.356436,4.5059406
KXJLEAGUEGAME-25NOV09KYOMAR-MAR,2025-11-09T07:00:02.049713Z,0.99,56,no,f7aece31-6ce8-5ea9-adb9-35fccbcc632f,KXJLEAGUEGAME-25NOV09KYOMAR,Sports,2025-11-09T07:04:52.572499Z,2025-11-09 07:00:02.049713+00:00,2025-11-09 07:04:52.572499+00:00,290.522786,4.8420464333333335
KXJLEAGUEGAME-25NOV09KYOMAR-MAR,2025-11-09T06:57:53.612696Z,0.98,15,no,6318c4a6-9334-44b8-6f73-db640a3f23bb,KXJLEAGUEGAME-25NOV09KYOMAR,Sports,2025-11-09T07:04:52.572499Z,2025-11-09 06:57:53.612696+00:00,2025-11-09 07:04:52.572499+00:00,418.959803,6.982663383333334
KXJLEAGUEGAME-25NOV09KYOMAR-MAR,2025-11-09T06:57:53.612696Z,0.99,19,no,5f1aa089-23fe-4491-7c07-b989499f15aa,KXJLEAGUEGAME-25NOV09KYOMAR,Sports,2025-11-09T07:04:52.572499Z,2025-11-09 06:57:53.612696+00:00,2025-11-09 07:04:52.572499+00:00,418.959803,6.982663383333334
KXJLEAGUEGAME-25NOV09KYOMAR-MAR,2025-11-09T06:57:00.435033Z,0.98,7,no,8457df98-397c-735c-9bd1-472efa70d457,KXJLEAGUEGAME-25NOV09KYOMAR,Sports,2025-11-09T07:04:52.572499Z,2025-11-09 06:57:00.435033+00:00,2025-11-09 07:04:52.572499+00:00,472.137466,7.868957766666667
KXJLEAGUEGAME-25NOV09KYOMAR-MAR,2025-11-09T06:55:42.274638Z,0.98,7,no,6b6ee3fc-dbc4-7978-9726-e059fafb4a3b,KXJLEAGUEGAME-25NOV09KYOMAR,Sports,2025-11-09T07:04:52.572499Z,2025-11-09 06:55:42.274638+00:00,2025-11-09 07:04:52.572499+00:00,550.297861,9.171631016666668
KXJLEAGUEGAME-25NOV09KYOMAR-MAR,2025-11-09T06:52:00.371819Z,0.99,41,no,c5da7c0f-d66c-5f0c-9c2f-26cee463a429,KXJLEAGUEGAME-25NOV09KYOMAR,Sports,2025-11-09T07:04:52.572499Z,2025-11-09 06:52:00.371819+00:00,2025-11-09 07:04:52.572499+00:00,772.20068,12.870011333333334
KXJLEAGUEGAME-25NOV09KYOMAR-MAR,2025-11-09T06:51:48.022396Z,0.99,254,no,0559d082-4a2c-6844-e404-ff1af172b661,KXJLEAGUEGAME-25NOV09KYOMAR,Sports,2025-11-09T07:04:52.572499Z,2025-11-09 06:51:48.022396+00:00,2025-11-09 07:04:52.572499+00:00,784.550103,13.07583505
KXJLEAGUEGAME-25NOV09KYOMAR-MAR,2025-11-09T06:50:49.299831Z,0.98,25,yes,a5a123fb-8b41-60e4-46b0-2763122aa081,KXJLEAGUEGAME-25NOV09KYOMAR,Sports,2025-11-09T07:04:52.572499Z,2025-11-09 06:50:49.299831+00:00,2025-11-09 07:04:52.572499+00:00,843.272668,14.054544466666666
