ticker,created_time,price,count,taker_side,trade_id,event_ticker,category,event_time,created_time_dt,event_time_dt,seconds_before_event,minutes_before_event
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-09T00:42:13.208641Z,0.1,8,yes,8fd15b3c-3c70-667c-ca75-d74c21bc08d3,KXLIGAMXGAME-25NOV08CDGMON,Sports,2025-11-09T01:40:13.714041Z,2025-11-09 00:42:13.208641+00:00,2025-11-09 01:40:13.714041+00:00,3480.5054,58.00842333333333
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-09T00:42:13.208641Z,0.02,2,yes,0af77278-0fb6-6562-faa8-076f8baa94d9,KXLIGAMXGAME-25NOV08CDGMON,Sports,2025-11-09T01:40:13.714041Z,2025-11-09 00:42:13.208641+00:00,2025-11-09 01:40:13.714041+00:00,3480.5054,58.00842333333333
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-09T00:11:51.332411Z,0.01,4,no,9391f2c2-d0a7-53eb-f05d-3ca62f110a04,KXLIGAMXGAME-25NOV08CDGMON,Sports,2025-11-09T01:40:13.714041Z,2025-11-09 00:11:51.332411+00:00,2025-11-09 01:40:13.714041+00:00,5302.38163,88.37302716666666
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-09T00:02:48.535248Z,0.01,5,no,1381d728-74d3-5b0f-1ba7-f4389c3de913,KXLIGAMXGAME-25NOV08CDGMON,Sports,2025-11-09T01:40:13.714041Z,2025-11-09 00:02:48.535248+00:00,2025-11-09 01:40:13.714041+00:00,5845.178793,97.41964655
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:58:43.781648Z,0.01,8,yes,f70cae90-1d37-5751-8e73-153ef3bcf19a,KXLIGAMXGAME-25NOV08CDGMON,Sports,2025-11-09T01:40:13.714041Z,2025-11-08 23:58:43.781648+00:00,2025-11-09 01:40:13.714041+00:00,6089.932393,101.49887321666667
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:47:03.600921Z,0.88,16,yes,ce691090-7e1b-7c94-928f-e8925306c2d1,KXLIGAMXGAME-25NOV08CDGMON,Sports,2025-11-09T01:40:13.714041Z,2025-11-08 23:47:03.600921+00:00,2025-11-09 01:40:13.714041+00:00,6790.11312,113.168552
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:47:03.600921Z,0.05,50,yes,917b00f0-9b9b-779b-bd7b-c38b3b01c201,KXLIGAMXGAME-25NOV08CDGMON,Sports,2025-11-09T01:40:13.714041Z,2025-11-08 23:47:03.600921+00:00,2025-11-09 01:40:13.714041+00:00,6790.11312,113.168552
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:47:03.600921Z,0.6,5,yes,6a8e4893-2d63-7c0e-83d2-39d899ee8e70,KXLIGAMXGAME-25NOV08CDGMON,Sports,2025-11-09T01:40:13.714041Z,2025-11-08 23:47:03.600921+00:00,2025-11-09 01:40:13.714041+00:00,6790.11312,113.168552
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:41:02.573494Z,0.01,12,no,a3639e10-981e-44d1-fe68-2a7b08587263,KXLIGAMXGAME-25NOV08CDGMON,Sports,2025-11-09T01:40:13.714041Z,2025-11-08 23:41:02.573494+00:00,2025-11-09 01:40:13.714041+00:00,7151.140547,119.18567578333334
KXLIGAMXGAME-25NOV08CDGMON-MON,2025-11-08T23:41:02.573494Z,0.01,41,no,97dfd12e-12ce-422d-eae7-3a535ab2f976,KXLIGAMXGAME-25NOV08CDGMON,Sports,2025-11-09T01:40:13.714041Z,2025-11-08 23:41:02.573494+00:00,2025-11-09 01:40:13.714041+00:00,7151.140547,119.18567578333334
