ticker,created_time,price,count,taker_side,trade_id,event_ticker,category,event_time,created_time_dt,event_time_dt,seconds_before_event,minutes_before_event
KXETH-25NOV0913-B3510,2025-11-09T17:58:30.531989Z,0.99,2,yes,f6e091c2-fe2c-5f6e-b638-92f123599759,KXETH-25NOV0913,Crypto,2025-11-09T18:00:00Z,2025-11-09 17:58:30.531989+00:00,2025-11-09 18:00:00+00:00,89.468011,1.4911335166666668
KXETH-25NOV0913-B3510,2025-11-09T17:58:30.531989Z,0.99,19,yes,1a91994b-b4f4-52ae-be5c-d5a512fb4b37,KXETH-25NOV0913,Crypto,2025-11-09T18:00:00Z,2025-11-09 17:58:30.531989+00:00,2025-11-09 18:00:00+00:00,89.468011,1.4911335166666668
KXETH-25NOV0913-B3510,2025-11-09T17:55:26.877579Z,0.85,160,yes,aa79b1d4-0a24-6787-a0ca-361788fcf188,KXETH-25NOV0913,Crypto,2025-11-09T18:00:00Z,2025-11-09 17:55:26.877579+00:00,2025-11-09 18:00:00+00:00,273.122421,4.5520403499999995
KXETH-25NOV0913-B3510,2025-11-09T17:53:51.298683Z,0.85,29,yes,d19a56df-ea58-79eb-dc90-aee466ba989c,KXETH-25NOV0913,Crypto,2025-11-09T18:00:00Z,2025-11-09 17:53:51.298683+00:00,2025-11-09 18:00:00+00:00,368.701317,6.14502195
KXETH-25NOV0913-B3510,2025-11-09T17:53:05.007639Z,0.85,11,yes,fbef2951-d740-49d3-5278-4ead2b6e3d74,KXETH-25NOV0913,Crypto,2025-11-09T18:00:00Z,2025-11-09 17:53:05.007639+00:00,2025-11-09 18:00:00+00:00,414.992361,6.91653935
KXETH-25NOV0913-B3510,2025-11-09T17:46:14.134267Z,0.84,117,yes,4fd15622-0daf-7271-b763-8e1a83aaff8d,KXETH-25NOV0913,Crypto,2025-11-09T18:00:00Z,2025-11-09 17:46:14.134267+00:00,2025-11-09 18:00:00+00:00,825.865733,13.764428883333332
KXETH-25NOV0913-B3510,2025-11-09T17:45:46.877755Z,0.82,1,yes,56ecf08e-2fbe-566e-65f0-5c8df65d2ec4,KXETH-25NOV0913,Crypto,2025-11-09T18:00:00Z,2025-11-09 17:45:46.877755+00:00,2025-11-09 18:00:00+00:00,853.122245,14.218704083333334
KXETH-25NOV0913-B3510,2025-11-09T17:45:27.652903Z,0.81,19,no,e4779102-13d0-4916-1a05-578634b354c4,KXETH-25NOV0913,Crypto,2025-11-09T18:00:00Z,2025-11-09 17:45:27.652903+00:00,2025-11-09 18:00:00+00:00,872.347097,14.539118283333332
KXETH-25NOV0913-B3510,2025-11-09T17:45:12.220231Z,0.81,2,yes,db87361f-887e-77a7-d685-33dce4ea95eb,KXETH-25NOV0913,Crypto,2025-11-09T18:00:00Z,2025-11-09 17:45:12.220231+00:00,2025-11-09 18:00:00+00:00,887.779769,14.796329483333333
KXETH-25NOV0913-B3510,2025-11-09T17:30:13.900758Z,0.59,1,yes,f4e59529-b73d-68f1-0cd4-3faad62e360d,KXETH-25NOV0913,Crypto,2025-11-09T18:00:00Z,2025-11-09 17:30:13.900758+00:00,2025-11-09 18:00:00+00:00,1786.099242,29.7683207
KXETH-25NOV0913-B3510,2025-11-09T17:26:33.950122Z,0.62,200,yes,3733ae30-b45b-6648-1e28-bb31aa94f43b,KXETH-25NOV0913,Crypto,2025-11-09T18:00:00Z,2025-11-09 17:26:33.950122+00:00,2025-11-09 18:00:00+00:00,2006.049878,33.43416463333333
KXETH-25NOV0913-B3510,2025-11-09T17:26:21.698964Z,0.55,42,no,c766fdbf-b3da-6d60-e18d-7040e8fe4ae7,KXETH-25NOV0913,Crypto,2025-11-09T18:00:00Z,2025-11-09 17:26:21.698964+00:00,2025-11-09 18:00:00+00:00,2018.301036,33.6383506
KXETH-25NOV0913-B3510,2025-11-09T17:12:08.621069Z,0.37,25,yes,f81f2bcf-76d0-40b3-1c25-a909bffc9bf3,KXETH-25NOV0913,Crypto,2025-11-09T18:00:00Z,2025-11-09 17:12:08.621069+00:00,2025-11-09 18:00:00+00:00,2871.378931,47.85631551666667
