ticker,created_time,price,count,taker_side,trade_id,event_ticker,category,event_time,created_time_dt,event_time_dt,seconds_before_event,minutes_before_event
KXNCAAMBTOTAL-25NOV05COPPLAS-145,2025-11-06T01:36:21.617815Z,0.99,200,yes,0bb0da1d-63c6-7b4c-aaba-2a379fbe2b70,KXNCAAMBTOTAL-25NOV05COPPLAS,Sports,2025-11-06T02:16:02.207271Z,2025-11-06 01:36:21.617815+00:00,2025-11-06 02:16:02.207271+00:00,2380.589456,39.67649093333333
KXNCAAMBTOTAL-25NOV05COPPLAS-145,2025-11-06T01:18:12.378947Z,0.6,50,yes,7741f08f-4bd3-7de9-f52b-bb8f493738b8,KXNCAAMBTOTAL-25NOV05COPPLAS,Sports,2025-11-06T02:16:02.207271Z,2025-11-06 01:18:12.378947+00:00,2025-11-06 02:16:02.207271+00:00,3469.828324,57.830472066666665
KXNCAAMBTOTAL-25NOV05COPPLAS-145,2025-11-06T00:01:40.417419Z,0.01,200,no,eec32313-efa0-5adf-2e34-05639a23f51e,KXNCAAMBTOTAL-25NOV05COPPLAS,Sports,2025-11-06T02:16:02.207271Z,2025-11-06 00:01:40.417419+00:00,2025-11-06 02:16:02.207271+00:00,8061.789852,134.3631642
