unix,iso_utc,price
1760064904,2025-10-10T02:55:04+00:00,0.6735
1760064964,2025-10-10T02:56:04+00:00,0.6755
1760065024,2025-10-10T02:57:04+00:00,0.6835
1760065083,2025-10-10T02:58:03+00:00,0.6625
1760065143,2025-10-10T02:59:03+00:00,0.655
1760065220,2025-10-10T03:00:20+00:00,0.6575
1760065264,2025-10-10T03:01:04+00:00,0.657
1760065323,2025-10-10T03:02:03+00:00,0.6545
1760065384,2025-10-10T03:03:04+00:00,0.6555
1760065444,2025-10-10T03:04:04+00:00,0.654
1760065513,2025-10-10T03:05:13+00:00,0.6515
1760065564,2025-10-10T03:06:04+00:00,0.6535
1760065623,2025-10-10T03:07:03+00:00,0.6535
1760065683,2025-10-10T03:08:03+00:00,0.6495
1760065744,2025-10-10T03:09:04+00:00,0.6515
1760065813,2025-10-10T03:10:13+00:00,0.647
1760065864,2025-10-10T03:11:04+00:00,0.6465
1760065923,2025-10-10T03:12:03+00:00,0.653
1760065983,2025-10-10T03:13:03+00:00,0.646
1760066044,2025-10-10T03:14:04+00:00,0.646
1760066104,2025-10-10T03:15:04+00:00,0.625
1760066165,2025-10-10T03:16:05+00:00,0.619
1760066223,2025-10-10T03:17:03+00:00,0.585
1760066283,2025-10-10T03:18:03+00:00,0.6225
1760066343,2025-10-10T03:19:03+00:00,0.612
1760066408,2025-10-10T03:20:08+00:00,0.6015
1760066464,2025-10-10T03:21:04+00:00,0.594
1760066525,2025-10-10T03:22:05+00:00,0.626
1760066585,2025-10-10T03:23:05+00:00,0.6025
1760066642,2025-10-10T03:24:02+00:00,0.63
1760066703,2025-10-10T03:25:03+00:00,0.633
1760066764,2025-10-10T03:26:04+00:00,0.6415
1760066823,2025-10-10T03:27:03+00:00,0.6565
1760066885,2025-10-10T03:28:05+00:00,0.648
1760066943,2025-10-10T03:29:03+00:00,0.638
1760067016,2025-10-10T03:30:16+00:00,0.666
1760067065,2025-10-10T03:31:05+00:00,0.66
1760067123,2025-10-10T03:32:03+00:00,0.687
1760067184,2025-10-10T03:33:04+00:00,0.697
1760067243,2025-10-10T03:34:03+00:00,0.6975
1760067305,2025-10-10T03:35:05+00:00,0.682
1760067365,2025-10-10T03:36:05+00:00,0.689
1760067423,2025-10-10T03:37:03+00:00,0.7005
1760067483,2025-10-10T03:38:03+00:00,0.691
1760067543,2025-10-10T03:39:03+00:00,0.6895
1760067615,2025-10-10T03:40:15+00:00,0.694
1760067663,2025-10-10T03:41:03+00:00,0.693
1760067723,2025-10-10T03:42:03+00:00,0.694
1760067785,2025-10-10T03:43:05+00:00,0.6945
1760067844,2025-10-10T03:44:04+00:00,0.6935
1760067905,2025-10-10T03:45:05+00:00,0.6915
1760067962,2025-10-10T03:46:02+00:00,0.694
1760068024,2025-10-10T03:47:04+00:00,0.691
1760068084,2025-10-10T03:48:04+00:00,0.686
1760068145,2025-10-10T03:49:05+00:00,0.689
1760068217,2025-10-10T03:50:17+00:00,0.687
1760068265,2025-10-10T03:51:05+00:00,0.6875
1760068324,2025-10-10T03:52:04+00:00,0.687
1760068384,2025-10-10T03:53:04+00:00,0.6875
1760068443,2025-10-10T03:54:03+00:00,0.687
