ticker,event_ticker,category,event_time,vol_total,vol_24h,vol_4h,vol_1h,n_trades_1h,max_trade_size_1h,net_yes_volume_1h,vol_30m,n_trades_30m,max_trade_size_30m,net_yes_volume_30m,price_change_30m,z_vol_30m,z_vol_1h,z_max_trade_size_1h,z_price_change_30m,flag_volume_spike_30m,flag_big_trade_1h,flag_price_jump_30m,suspicion_score
KXNBATOTAL-25NOV05UTADET-233,KXNBATOTAL-25NOV05UTADET,Sports,2025-11-06 02:50:21.691384+00:00,16077,16077,12487,1977,14,862,299,1750,9,862,362,-0.44,0.24385536174592168,0.058038463184023226,0.5910378204944194,-1.8159084692147311,False,False,True,0.8913742719931315
KXNBASPREAD-25NOV05WASBOS-BOS10,KXNBASPREAD-25NOV05WASBOS,Sports,2025-11-06 03:05:17.059625+00:00,19057,19057,17674,3125,19,1134,579,602,4,485,468,0.4199999999999999,-0.08377756620108291,0.2944342614286877,0.9771422160428069,1.7209079355518153,False,False,True,0.8245711080214033
KXNBASPREAD-25NOV05PHICLE-CLE16,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,15998,15998,15921,5035,26,675,1831,2092,15,500,-278,0.38,0.34146029324232896,0.6877408595535215,0.32559104855490306,1.556404846958023,False,False,True,0.8082558175197805
KXNBATOTAL-25NOV05WASBOS-235,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,18714,18714,11385,6427,31,500,-181,3008,17,500,1892,-0.12,0.6028816887122385,0.9743810609094213,0.07717829406605084,-0.4998837604643881,False,False,False,0.7374708357452638
KXNBATOTAL-25NOV05PHICLE-233,KXNBATOTAL-25NOV05PHICLE,Sports,2025-11-06 02:45:38.915803+00:00,66470,66470,31548,3135,21,935,-1083,705,3,467,-705,0.48,-0.05438192893754504,0.29649345827750884,0.6946614266526264,1.967662568442505,False,False,True,0.7313307133263132
KXNBASPREAD-25NOV05BKNIND-IND3,KXNBASPREAD-25NOV05BKNIND,Sports,2025-11-06 02:55:08.052898+00:00,12690,12690,9153,4037,32,600,-2077,1189,10,446,189,-0.62,0.08374902674742901,0.4822330140411738,0.2191284394882521,-2.5561723678867994,False,False,True,0.689313246491555
KXNBASPREAD-25NOV05BKNIND-BKN9,KXNBASPREAD-25NOV05BKNIND,Sports,2025-11-06 02:55:08.052898+00:00,8059,8059,5077,3213,47,349,-1155,2567,26,349,-1161,0.23,0.47702269809845016,0.3125551936983136,-0.1371664255214731,0.9395182647312996,False,False,True,0.6610226980984502
KXNBATOTAL-25NOV05UTADET-218,KXNBATOTAL-25NOV05UTADET,Sports,2025-11-06 02:50:21.691384+00:00,3997,3997,3853,644,4,498,-608,498,1,498,-498,-0.77,-0.11345859800115998,-0.21645247676383197,0.07433929115760682,-3.1730589501135227,False,False,True,0.6531696455788035
KXNBATOTAL-25NOV05WASBOS-232,KXNBATOTAL-25NOV05WASBOS,Sports,2025-11-06 03:05:13.149363+00:00,42201,42201,8436,2843,26,470,-1177,1673,11,470,-7,0.4999999999999999,0.22187998243240306,0.23636491029193216,0.03459325043939046,2.049914112739401,False,False,True,0.6391766076520982
KXNBASPREAD-25NOV05PHICLE-CLE19,KXNBASPREAD-25NOV05PHICLE,Sports,2025-11-06 02:45:41.008688+00:00,7734,7734,7086,5775,31,500,921,1953,15,500,-1515,0.3500000000000001,0.3017904526633798,0.8401214263662843,0.07717829406605084,1.4330275305126787,False,False,True,0.6203795996964052
