ticker,event_ticker,status,close_time,volume
KXNCAAMBTOTAL-25NOV05UMESUGA-156,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:38.710501Z,200
KXNCAAMBTOTAL-25NOV05UMESUGA-153,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:38.326803Z,200
KXNCAAMBTOTAL-25NOV05UMESUGA-150,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:37.944546Z,200
KXNCAAMBTOTAL-25NOV05UMESUGA-147,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:37.588375Z,200
KXNCAAMBTOTAL-25NOV05UMESUGA-144,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:37.217603Z,216
KXNCAAMBTOTAL-25NOV05UMESUGA-141,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:36.815838Z,643
KXNCAAMBTOTAL-25NOV05UMESUGA-138,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:36.534197Z,200
KXNCAAMBTOTAL-25NOV05UMESUGA-135,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:36.255636Z,200
KXNCAAMBTOTAL-25NOV05UMESUGA-132,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:36.094351Z,200
KXNCAAMBTOTAL-25NOV05UMESUGA-129,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:35.822973Z,200
KXNCAAMBTOTAL-25NOV05UMESUGA-126,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:35.576189Z,700
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA44,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:45.83198Z,250
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA41,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:45.666319Z,250
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA38,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:45.460482Z,250
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA35,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:45.215059Z,335
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA32,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:44.965517Z,754
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA29,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:44.786282Z,688
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA26,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:44.593808Z,250
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA23,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:44.396384Z,250
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA20,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:44.151513Z,250
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA17,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:43.955423Z,250
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA14,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:43.711491Z,250
KXNCAAMBTOTAL-25NOV05COPPLAS-157,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:16:02.207271Z,200
