ticker,event_ticker,status,close_time,volume,title,category,series_ticker,event_time
KXNCAAMBTOTAL-25NOV05DSUTEM-154,KXNCAAMBTOTAL-25NOV05DSUTEM,settled,2025-11-06T02:31:12.812006Z,729,Delaware St. at Temple: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:31:14.320411Z
KXNCAAMBTOTAL-25NOV05DSUTEM-151,KXNCAAMBTOTAL-25NOV05DSUTEM,settled,2025-11-06T02:31:12.528911Z,395,Delaware St. at Temple: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:31:14.320411Z
KXNCAAMBTOTAL-25NOV05DSUTEM-148,KXNCAAMBTOTAL-25NOV05DSUTEM,settled,2025-11-06T02:31:12.289931Z,244,Delaware St. at Temple: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:31:14.320411Z
KXNCAAMBTOTAL-25NOV05DSUTEM-145,KXNCAAMBTOTAL-25NOV05DSUTEM,settled,2025-11-06T02:31:12.012743Z,300,Delaware St. at Temple: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:31:14.320411Z
KXNCAAMBTOTAL-25NOV05DSUTEM-142,KXNCAAMBTOTAL-25NOV05DSUTEM,settled,2025-11-06T02:31:11.688986Z,349,Delaware St. at Temple: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:31:14.320411Z
KXNCAAMBTOTAL-25NOV05DSUTEM-139,KXNCAAMBTOTAL-25NOV05DSUTEM,settled,2025-11-06T02:31:11.332618Z,722,Delaware St. at Temple: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:31:14.320411Z
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM8,KXNCAAMBSPREAD-25NOV05DSUTEM,settled,2025-11-06T02:31:13.790153Z,523,Delaware St. at Temple: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:31:15.663169Z
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM5,KXNCAAMBSPREAD-25NOV05DSUTEM,settled,2025-11-06T02:31:13.498387Z,250,Delaware St. at Temple: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:31:15.663169Z
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM32,KXNCAAMBSPREAD-25NOV05DSUTEM,settled,2025-11-06T02:31:15.663169Z,250,Delaware St. at Temple: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:31:15.663169Z
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM29,KXNCAAMBSPREAD-25NOV05DSUTEM,settled,2025-11-06T02:31:15.469952Z,250,Delaware St. at Temple: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:31:15.663169Z
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM26,KXNCAAMBSPREAD-25NOV05DSUTEM,settled,2025-11-06T02:31:15.255095Z,615,Delaware St. at Temple: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:31:15.663169Z
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM23,KXNCAAMBSPREAD-25NOV05DSUTEM,settled,2025-11-06T02:31:15.084514Z,250,Delaware St. at Temple: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:31:15.663169Z
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM20,KXNCAAMBSPREAD-25NOV05DSUTEM,settled,2025-11-06T02:31:14.799972Z,393,Delaware St. at Temple: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:31:15.663169Z
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM2,KXNCAAMBSPREAD-25NOV05DSUTEM,settled,2025-11-06T02:31:13.208787Z,250,Delaware St. at Temple: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:31:15.663169Z
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM17,KXNCAAMBSPREAD-25NOV05DSUTEM,settled,2025-11-06T02:31:14.609717Z,1434,Delaware St. at Temple: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:31:15.663169Z
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM14,KXNCAAMBSPREAD-25NOV05DSUTEM,settled,2025-11-06T02:31:14.34605Z,1008,Delaware St. at Temple: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:31:15.663169Z
KXNCAAMBSPREAD-25NOV05DSUTEM-TEM11,KXNCAAMBSPREAD-25NOV05DSUTEM,settled,2025-11-06T02:31:14.109532Z,307,Delaware St. at Temple: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:31:15.663169Z
KXNCAAMBTOTAL-25NOV05UMESUGA-156,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:38.710501Z,200,Maryland-Eastern Shore at Georgia: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:35:38.710501Z
KXNCAAMBTOTAL-25NOV05UMESUGA-153,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:38.326803Z,200,Maryland-Eastern Shore at Georgia: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:35:38.710501Z
KXNCAAMBTOTAL-25NOV05UMESUGA-150,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:37.944546Z,200,Maryland-Eastern Shore at Georgia: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:35:38.710501Z
KXNCAAMBTOTAL-25NOV05UMESUGA-147,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:37.588375Z,200,Maryland-Eastern Shore at Georgia: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:35:38.710501Z
KXNCAAMBTOTAL-25NOV05UMESUGA-144,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:37.217603Z,216,Maryland-Eastern Shore at Georgia: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:35:38.710501Z
KXNCAAMBTOTAL-25NOV05UMESUGA-141,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:36.815838Z,643,Maryland-Eastern Shore at Georgia: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:35:38.710501Z
KXNCAAMBTOTAL-25NOV05UMESUGA-138,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:36.534197Z,200,Maryland-Eastern Shore at Georgia: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:35:38.710501Z
KXNCAAMBTOTAL-25NOV05UMESUGA-135,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:36.255636Z,200,Maryland-Eastern Shore at Georgia: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:35:38.710501Z
KXNCAAMBTOTAL-25NOV05UMESUGA-132,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:36.094351Z,200,Maryland-Eastern Shore at Georgia: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:35:38.710501Z
KXNCAAMBTOTAL-25NOV05UMESUGA-129,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:35.822973Z,200,Maryland-Eastern Shore at Georgia: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:35:38.710501Z
KXNCAAMBTOTAL-25NOV05UMESUGA-126,KXNCAAMBTOTAL-25NOV05UMESUGA,settled,2025-11-06T02:35:35.576189Z,700,Maryland-Eastern Shore at Georgia: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:35:38.710501Z
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA44,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:45.83198Z,250,Maryland-Eastern Shore at Georgia: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:35:45.83198Z
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA41,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:45.666319Z,250,Maryland-Eastern Shore at Georgia: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:35:45.83198Z
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA38,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:45.460482Z,250,Maryland-Eastern Shore at Georgia: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:35:45.83198Z
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA35,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:45.215059Z,335,Maryland-Eastern Shore at Georgia: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:35:45.83198Z
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA32,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:44.965517Z,754,Maryland-Eastern Shore at Georgia: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:35:45.83198Z
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA29,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:44.786282Z,688,Maryland-Eastern Shore at Georgia: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:35:45.83198Z
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA26,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:44.593808Z,250,Maryland-Eastern Shore at Georgia: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:35:45.83198Z
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA23,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:44.396384Z,250,Maryland-Eastern Shore at Georgia: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:35:45.83198Z
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA20,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:44.151513Z,250,Maryland-Eastern Shore at Georgia: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:35:45.83198Z
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA17,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:43.955423Z,250,Maryland-Eastern Shore at Georgia: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:35:45.83198Z
KXNCAAMBSPREAD-25NOV05UMESUGA-UGA14,KXNCAAMBSPREAD-25NOV05UMESUGA,settled,2025-11-06T02:35:43.711491Z,250,Maryland-Eastern Shore at Georgia: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:35:45.83198Z
KXNCAAMBTOTAL-25NOV05COPPLAS-157,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:16:02.207271Z,200,Coppin St. at La Salle: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:16:02.207271Z
KXNCAAMBTOTAL-25NOV05COPPLAS-154,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:16:01.83604Z,200,Coppin St. at La Salle: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:16:02.207271Z
KXNCAAMBTOTAL-25NOV05COPPLAS-151,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:16:01.506499Z,200,Coppin St. at La Salle: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:16:02.207271Z
KXNCAAMBTOTAL-25NOV05COPPLAS-148,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:16:01.018087Z,200,Coppin St. at La Salle: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:16:02.207271Z
KXNCAAMBTOTAL-25NOV05COPPLAS-145,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:16:00.528872Z,450,Coppin St. at La Salle: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:16:02.207271Z
KXNCAAMBTOTAL-25NOV05COPPLAS-142,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:16:00.071095Z,4149,Coppin St. at La Salle: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:16:02.207271Z
KXNCAAMBTOTAL-25NOV05COPPLAS-139,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:15:59.744512Z,1765,Coppin St. at La Salle: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:16:02.207271Z
KXNCAAMBTOTAL-25NOV05COPPLAS-136,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:15:59.308725Z,547,Coppin St. at La Salle: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:16:02.207271Z
KXNCAAMBTOTAL-25NOV05COPPLAS-133,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:15:58.958592Z,400,Coppin St. at La Salle: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:16:02.207271Z
KXNCAAMBTOTAL-25NOV05COPPLAS-130,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:15:58.720202Z,480,Coppin St. at La Salle: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:16:02.207271Z
KXNCAAMBTOTAL-25NOV05COPPLAS-127,KXNCAAMBTOTAL-25NOV05COPPLAS,settled,2025-11-06T02:15:58.397152Z,3010,Coppin St. at La Salle: Total Points,Sports,KXNCAAMBTOTAL,2025-11-06T02:16:02.207271Z
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS9,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:18.582769Z,250,Coppin St. at La Salle: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:16:19.705512Z
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS6,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:18.425939Z,250,Coppin St. at La Salle: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:16:19.705512Z
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS30,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:19.705512Z,250,Coppin St. at La Salle: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:16:19.705512Z
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS3,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:18.304643Z,250,Coppin St. at La Salle: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:16:19.705512Z
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS27,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:19.575631Z,250,Coppin St. at La Salle: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:16:19.705512Z
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS24,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:19.445699Z,791,Coppin St. at La Salle: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:16:19.705512Z
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS21,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:19.307072Z,255,Coppin St. at La Salle: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:16:19.705512Z
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS18,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:19.175952Z,2308,Coppin St. at La Salle: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:16:19.705512Z
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS15,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:18.902984Z,4982,Coppin St. at La Salle: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:16:19.705512Z
KXNCAAMBSPREAD-25NOV05COPPLAS-LAS12,KXNCAAMBSPREAD-25NOV05COPPLAS,settled,2025-11-06T02:16:18.758019Z,250,Coppin St. at La Salle: Spread,Sports,KXNCAAMBSPREAD,2025-11-06T02:16:19.705512Z
KXNBATOTAL-25NOV05PHICLE-248,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:38.915803Z,30777,Philadelphia at Cleveland: Total Points,Sports,KXNBATOTAL,2025-11-06T02:45:38.915803Z
KXNBATOTAL-25NOV05PHICLE-245,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:38.591891Z,10325,Philadelphia at Cleveland: Total Points,Sports,KXNBATOTAL,2025-11-06T02:45:38.915803Z
KXNBATOTAL-25NOV05PHICLE-242,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:38.216014Z,11179,Philadelphia at Cleveland: Total Points,Sports,KXNBATOTAL,2025-11-06T02:45:38.915803Z
KXNBATOTAL-25NOV05PHICLE-239,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:37.788985Z,7087,Philadelphia at Cleveland: Total Points,Sports,KXNBATOTAL,2025-11-06T02:45:38.915803Z
KXNBATOTAL-25NOV05PHICLE-236,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:37.339489Z,55246,Philadelphia at Cleveland: Total Points,Sports,KXNBATOTAL,2025-11-06T02:45:38.915803Z
KXNBATOTAL-25NOV05PHICLE-233,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:36.947821Z,66470,Philadelphia at Cleveland: Total Points,Sports,KXNBATOTAL,2025-11-06T02:45:38.915803Z
KXNBATOTAL-25NOV05PHICLE-230,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:36.523186Z,2372,Philadelphia at Cleveland: Total Points,Sports,KXNBATOTAL,2025-11-06T02:45:38.915803Z
KXNBATOTAL-25NOV05PHICLE-227,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:36.035263Z,12437,Philadelphia at Cleveland: Total Points,Sports,KXNBATOTAL,2025-11-06T02:45:38.915803Z
KXNBATOTAL-25NOV05PHICLE-224,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:35.658778Z,6293,Philadelphia at Cleveland: Total Points,Sports,KXNBATOTAL,2025-11-06T02:45:38.915803Z
KXNBATOTAL-25NOV05PHICLE-221,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:35.318706Z,954,Philadelphia at Cleveland: Total Points,Sports,KXNBATOTAL,2025-11-06T02:45:38.915803Z
KXNBATOTAL-25NOV05PHICLE-218,KXNBATOTAL-25NOV05PHICLE,settled,2025-11-06T02:45:34.921805Z,7342,Philadelphia at Cleveland: Total Points,Sports,KXNBATOTAL,2025-11-06T02:45:38.915803Z
KXNBASPREAD-25NOV05PHICLE-PHI5,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:37.31445Z,3730,Philadelphia at Cleveland: Spread,Sports,KXNBASPREAD,2025-11-06T02:45:41.008688Z
KXNBASPREAD-25NOV05PHICLE-PHI2,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:37.744447Z,2015,Philadelphia at Cleveland: Spread,Sports,KXNBASPREAD,2025-11-06T02:45:41.008688Z
KXNBASPREAD-25NOV05PHICLE-CLE7,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:38.817518Z,7148,Philadelphia at Cleveland: Spread,Sports,KXNBASPREAD,2025-11-06T02:45:41.008688Z
KXNBASPREAD-25NOV05PHICLE-CLE4,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:38.490305Z,1624,Philadelphia at Cleveland: Spread,Sports,KXNBASPREAD,2025-11-06T02:45:41.008688Z
KXNBASPREAD-25NOV05PHICLE-CLE25,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:41.008688Z,3879,Philadelphia at Cleveland: Spread,Sports,KXNBASPREAD,2025-11-06T02:45:41.008688Z
KXNBASPREAD-25NOV05PHICLE-CLE22,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:40.714899Z,8870,Philadelphia at Cleveland: Spread,Sports,KXNBASPREAD,2025-11-06T02:45:41.008688Z
KXNBASPREAD-25NOV05PHICLE-CLE19,KXNBASPREAD-25NOV05PHICLE,settled,2025-11-06T02:45:40.207298Z,7734,Philadelphia at Cleveland: Spread,Sports,KXNBASPREAD,2025-11-06T02:45:41.008688Z
