ticker,created_time,price,count,taker_side,trade_id
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:37:20.47961Z,0.01,935,yes,af400374-f08f-776d-164b-69d32e36fb55
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:37:08.072992Z,0.01,64,yes,a1938609-f81f-7719-0ce0-20226c7c6529
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:36:25.696965Z,0.01,93,yes,244dc793-bc5f-75e9-7237-dc55191528f9
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:36:25.663889Z,0.01,560,yes,ce2ae0ce-adaf-411d-60e5-be4b1475d795
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:35:40.306473Z,0.01,21,yes,2818e797-14c3-4135-d0b8-6b3150239fa9
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:35:11.218475Z,0.01,1035,yes,21434eac-6e7f-6411-539f-4d425e42f0f9
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:34:41.510358Z,0.01,500,no,e64aba07-9b2b-6ed0-dbf2-00c360a5b823
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:34:41.510358Z,0.11,200,no,e5c4bd9c-bb1c-6161-e9f2-30da4f46a5d2
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:34:41.510358Z,0.06,300,no,db23e1a5-1317-6f90-daae-1fbe5b3013f5
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:33:30.939065Z,0.49,24,yes,5b198108-b328-46de-6995-ba5977e243de
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:32:52.610595Z,0.49,3,yes,405f1822-57c8-48a6-ecbf-ebac95455bd2
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:30:50.226073Z,0.2,500,no,e7129316-895b-6df8-034a-a8fdf15da702
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:30:50.226073Z,0.19,200,no,25d032d2-7451-6863-1c34-f8c8b7a73326
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:30:04.44551Z,0.46,78,no,9fd20890-dac8-79d2-fe4f-37e5d6911be7
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:29:43.805948Z,0.47,26,no,96b9f44e-6e99-6822-6edb-ee0ed1863f55
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:29:43.805948Z,0.46,422,no,628b614e-d700-6d8e-64d4-50bfa755152f
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:28:55.606647Z,0.51,56,yes,fe40c705-58ba-6680-8409-b9c773128f4f
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:28:37.006017Z,0.51,18,yes,f0cc6229-01be-5abc-7748-9c6e1aa4bc4b
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:28:10.536701Z,0.88,26,yes,3b521e43-ab48-6ca9-0379-c5b1b99fe2c1
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:26:31.728598Z,0.73,494,yes,1a83996e-e47f-6d35-1667-03be1f3d1c0d
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:25:43.321796Z,0.78,31,yes,a8b626e3-a454-7461-22ef-f20ea54c50b0
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:25:34.041281Z,0.73,13,yes,c5e73bad-a1bd-6970-4c1a-2230d5a266cb
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:25:25.237003Z,0.58,500,yes,57b68889-f82d-50a4-3baf-877320ca2284
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:23:17.584173Z,0.8,54,yes,76075337-3d9e-58cd-5262-111a2726042a
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:15:03.466553Z,0.89,22,yes,a7c5beb8-b1e6-77c6-7e37-56665551f9bc
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:12:02.398321Z,0.89,11,yes,e64e1dca-1baa-77d2-1dc9-25929aba9d50
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:11:54.51916Z,0.89,7,yes,64c214d5-db1e-5476-14be-e64ae5fa1700
KXNBASPREAD-25NOV05PHICLE-CLE13,2025-11-06T02:04:58.266251Z,0.84,5,yes,fc2124dc-4f96-6503-d66d-448c7f849dee
