ticker,created_time,price,count,taker_side,trade_id
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:55:02.124963Z,0.99,14,no,56d3b66f-746e-4fc9-1739-b56889b689d9
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:53:54.559524Z,0.99,280,no,f4d444b8-5112-6f4d-b912-96155eca1545
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:53:25.944964Z,0.99,30,no,d11f1f5f-c98e-4d2d-82b9-2f410553de2d
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:53:04.698997Z,0.99,11,no,50600d67-e722-47d5-4855-c65a9eaf4e15
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:53:01.957764Z,0.99,35,no,940a9c04-bba6-4879-d2fd-b52b2e6eb791
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:51:59.786279Z,0.99,276,no,62e1dac2-9342-62a9-e219-2a05644a7979
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:51:58.446149Z,0.99,91,no,8b029fc9-48ba-4ea5-fe9a-b61de8921f35
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:51:34.753732Z,0.99,74,no,b88a7f3c-cc0e-661d-a291-30bac41e6f85
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:51:28.35694Z,0.99,665,no,6445c8f6-4fe2-7b95-16a4-7da3f8c3d8ad
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:51:24.18166Z,0.99,40,no,4e6f8fc2-05b6-4929-b6e4-e1002467f7f9
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:51:19.362886Z,0.99,8,no,e1be8438-1176-6455-8187-f252370eccdd
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:51:12.541253Z,0.99,396,no,cf9278e0-47be-4175-d49e-e40ad96dda29
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:51:11.014721Z,0.99,755,no,7ba4a85d-6298-5e1b-8104-509735785887
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:51:09.789188Z,0.99,96,no,5e573629-d4c8-6abb-bab2-0bf149787a03
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:51:09.759184Z,0.99,30,yes,92c04974-e7c1-5d39-20b1-3e07a20a3af2
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:51:09.759184Z,0.99,53,yes,671500e4-44c7-55e0-3f8c-723a18f11328
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:51:09.759184Z,0.99,15,yes,59a8bd0d-2790-53fc-2e4e-7c44234efff8
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:51:09.759184Z,0.99,291,yes,1e7dcc7c-9e14-55a4-2104-4a9d1524db6b
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:45.736602Z,0.91,10,no,129b5507-b08d-4a02-2617-96be653644fe
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:28.316568Z,0.99,235,yes,93936144-c819-5445-75bb-985d685c4b46
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:28.316568Z,0.99,67,yes,554a28d0-efbf-51a4-545b-106afc33d4f4
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:27.132384Z,0.98,50,yes,ea83518a-35c3-65fc-887c-195be89c1970
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:25.479666Z,0.91,50,no,55bee5f9-74b3-7192-dcaf-2206b4882532
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:13.439884Z,0.98,11,yes,93e8edc5-72ca-6ab2-b1d4-b9bf5ed3994b
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:11.17655Z,0.99,20,yes,db63b537-caed-5697-ad0f-a48ea2c3f174
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:11.17655Z,0.99,41,yes,c5d79d5b-e01d-5bd3-81ca-56223ea8b769
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:11.17655Z,0.99,1224,yes,bc98451d-11bf-51c8-babd-b557092a385c
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:11.17655Z,0.99,700,yes,b187df0f-bea0-5161-b63b-017d30197f55
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:11.17655Z,0.98,15,yes,a8e50ec8-4253-54cd-9a28-fd9b8f813bd2
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:08.863889Z,0.11,5,no,355ac003-6299-5556-a7f6-753012e0d982
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:04.41909Z,0.3,9,no,cd35434f-5e34-4ee9-3ab1-97fb3aa89de8
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:04.41909Z,0.4,20,no,0ba89a64-2f74-4c7d-0142-7a52ac5dc66d
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:01.059178Z,0.91,1,no,c9da68ac-9def-4e38-3b47-94433d8f740b
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:01.059178Z,0.6,10,no,c384ea0c-c54d-4497-287b-bf8782ab81d7
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:01.059178Z,0.7,5,no,9c334b03-c16b-46dc-1d69-ca3b2e3d59a5
KXKLEAGUEGAME-25NOV09POHSEO-TIE,2025-11-09T06:50:01.059178Z,0.8,4,no,71a80d8f-71a9-494a-2158-86ddb41bed04
